Sin nombre: 0, título, Ingredientes, Direcciones, NER
38, Ensalada De Pera Y Lima,"[""1 lata (16 oz) de mitades de pera, sin escurrir"", ""1 paquete (3 oz) de gelatina de lima"", ""1 paquete (8 oz) de queso crema, ablandado"", ""1 (8 oz)) cartón de yogur de limón""]"," [""Escurrir las peras, reservando el jugo"", ""Hacer hervir el jugo, revolviendo constantemente"", ""Retirar del fuego"", ""Agregar gelatina, revolviendo hasta que se disuelva"", ""Dejar enfriar un poco"", ""Picar la pera en trozos grandes"". mitades. Combine el queso crema y el yogur; bata a velocidad media con una batidora eléctrica hasta que quede suave"", ""Agregue la gelatina y bata bien"", ""Agregue las peras"", ""Vierta en un molde de 4 tazas o en un plato Pyrex engrasado"". , ""Enfriar.""]"," [""mitades de pera"", ""gelatina de lima"", ""queso crema"", ""yogur de limón""]"
39, Encurtidos con cáscara de sandía," [""7 libras de corteza de sandía"", ""7 tazas de azúcar"", ""2 tazas de vinagre de manzana"", ""1/2 cucharadita de aceite de clavo"", ""1/2 cucharadita de aceite de canela""]","[""Recorte las partes verdes y rosadas de la cáscara de la sandía; córtela en cubos de 1 pulgada"", ""Cocine hasta que estén tiernas, pero no blandas"", ""Escurra. Combine el azúcar, el vinagre, el aceite de clavo y el aceite de canela; lleve a hervir y verter sobre la corteza"", ""Dejar reposar toda la noche"", ""Por la mañana, escurrir el almíbar"", ""Calentar y poner sobre la corteza"", ""A la tercera mañana, calentar la corteza y el almíbar; sellar en caliente, esterilizado"". frascos."", ""Rinde 8 pintas."", ""(El aceite de canela y clavo mantiene la cáscara clara y transparente.)""]"," [""cáscara de sandía"", ""azúcar"", ""vinagre de manzana"", ""aceite"", ""aceite de canela""]"
40, Estofado de pollo,"[""3 libras de pollo, hervido"", ""4 papas medianas, cortadas en cubitos"", ""2 cebollas medianas, picadas"", ""1 lata (16 oz) de maíz con crema"", ""1 lata (16 oz) de guisantes ingleses"", ""1 lata (16 oz) de guisantes"", ""1 lata (16 oz) de frijoles con mantequilla"", ""1 lata (16 oz) de tomates"", ""1 lata (46 oz) de jugo de tomate"", ""1 lata pequeña caja de macarrones"", ""1 cucharada de pimienta negra"", ""1 cucharada de sal"", ""1 cucharada de azúcar""]"," [""Retirar el pollo del hueso"", ""Usar el caldo"", ""Mezclar las verduras y los macarrones"", ""Agregar azúcar, sal y pimienta negra"", ""Cocinar hasta que todas las verduras estén tiernas a fuego medio"".]"," [""pollo"", ""patatas"", ""cebollas"", ""maíz"", ""guisantes ingleses"", ""guisantes"", ""frijoles"", ""tomates"", ""jugo de tomate"", ""macarrones"", ""pimienta negra"", "" sal"", ""azúcar""]"
41,Pastel De Café Rápido (6 Porciones)," [""3 cucharadas de mantequilla o margarina blanda"", ""1/2 taza de azúcar granulada"", ""1 huevo"", ""1 taza de harina"", ""1 1/4 cucharadita de levadura en polvo"", ""1/4 cucharadita. sal"", ""1/3 taza de leche"", ""1/4 cucharadita de vainilla"", ""1/3 taza de azúcar moreno, envasada"", ""1/2 cucharadita de canela"", ""2 cucharadas de mantequilla o margarina"" ]"," [""Mezclar 3 cucharadas de grasa con azúcar granulada"", ""Agregar el huevo y batir hasta que esté cremoso"", ""Mezclar bien la harina, el polvo para hornear y la sal"", ""Agregar a la mezcla de azúcar alternativamente con la leche"", ""Agregar vainilla. Untar bata uniformemente en un molde para hornear cuadrado de 8 pulgadas engrasado"", ""Mezcle el azúcar moreno y la canela y espolvoree sobre la masa"", ""Ponle 2 cucharadas de grasa"", ""Hornee a 350\u00b0 (horno moderado) durante 25 a 30 minutos.""]","[""mantequilla"", ""azúcar"", ""huevo"", ""harina"", ""levadura en polvo"", ""sal"", ""leche"", ""vainilla"", ""azúcar moreno"", ""canela"", ""mantequilla""]"
42, Galletas de ángel," [""5 tazas de harina"", ""3 cucharadas de azúcar"", ""4 cucharaditas de levadura en polvo"", ""1 1/2 paquete de levadura seca"", ""2 tazas de suero de leche"", ""1 cucharadita de refresco"", ""1 1/2 barra de margarina"", ""1/2 taza de agua tibia""]"," [""Mezcle la harina, el azúcar, el polvo para hornear, la soda y la sal"", ""Corte la margarina, disuelva la levadura en agua tibia"", ""Revuelva con el suero de leche y agregue a la mezcla seca"", ""Cubra y enfríe"".]"," [""harina"", ""azúcar"", ""levadura en polvo"", ""levadura"", ""suero de leche"", ""refresco"", ""margarina"", ""agua tibia""]"
43, Bocanadas rápidas de menta,"[""8 malvaviscos"", ""2 cucharadas de margarina derretida"", ""1/4 taza de caramelo de menta triturado"", ""1 lata de panecillos""]"," [""Sumerja los malvaviscos en margarina derretida; enróllelos en caramelo. Envuelva un triángulo creciente alrededor de cada malvavisco, cubriendo completamente el malvavisco y los bordes cuadrados de la masa herméticamente para sellar."", ""Sumerja en margarina y colóquelos en un molde para muffins engrasado."", "" Hornee a 375\u00b0 durante 10 a 15 minutos; retírelo del molde.""]"," [""malvaviscos"", ""margarina"", ""dulces de menta"", ""panecillos de media luna""]"
44, Pizza de Frutas," [""1 caja de mezcla para pastel amarillo"", ""1/4 taza de agua"", ""1/4 taza de azúcar moreno"", ""1/2 taza de mantequilla blanda"", ""2 huevos"", ""1/2 taza picada nueces""]"," [""Mezcle los ingredientes y extiéndalos en 2 moldes para pizza engrasados."", ""Hornee a 350\u00b0 durante 15 a 20 minutos"".]","[""mezcla para pastel amarillo"", ""agua"", ""azúcar moreno"", ""mantequilla"", ""huevos"", ""nueces""]"
45, Barras de chocolate y menta," [""1 taza de harina"", ""1 taza de azúcar"", ""1/2 taza de oleo ablandado"", ""4 huevos"", ""1 lata de sirope de chocolate""]"," [""Mezclar y hornear en un molde de 9 x 13 pulgadas a 350\u00b0 durante 25 a 30 minutos."", ""La parte superior debe saltar hacia atrás cuando se toca ligeramente; no hornear demasiado"", ""Dejar enfriar completamente y luego untar con una capa de menta. ""]"," [""harina"", ""azúcar"", ""oleo"", ""huevos"", ""sirope de chocolate""]"
46, Pan De Cerveza," [""3 tazas de harina leudante"", ""1 lata de cerveza de 12 onzas"", ""1 cucharada de azúcar""]"," [""Revuelva los ingredientes y colóquelos en un molde para pan engrasado y enharinado"", ""Hornee a 425 grados durante 50 minutos"", ""Rocíe mantequilla derretida encima"".]"," [""harina"", ""cerveza"", ""azúcar""]"
47,Diván de pollo," [""1/4 c. de margarina"", ""1/4 c. de cebolla picada (o la cantidad que quieras)"", ""apio picado al gusto"", ""1/4 c. de harina"", ""1/8 cdta. curry en polvo"", ""1 lata de champiñones en rodajas (guarde el jugo)"", ""1 lata de crema de apio"", ""1 paquete de brócoli picado"", ""1 pollo en cubitos"", ""queso Monterey Jack rallado""]"," [""Derrita la margarina en una sartén; saltee las cebollas y el apio"", ""Retire del fuego"", ""Agregue la harina y el curry en polvo"", ""Escurra los champiñones y conserve el jugo"", ""Agregue agua al jugo para hacer 1/2 taza de líquido."", ""Revuelva el líquido y la sopa con la mezcla de harina; agregue los champiñones."", ""Cocine hasta que espese."", ""Coloque el brócoli y el pollo en cubitos en una fuente para horno grande. Vierta la salsa sobre el pollo."", ""Cubra con queso rallado ."", ""Hornee en el horno a 350\u00b0 durante unos 20 minutos o en el microondas hasta que el queso se derrita.""]","[""margarina"", ""cebolla"", ""apio"", ""harina"", ""curry en polvo"", ""champiñones"", ""crema de apio"", ""brócoli"", ""pollo"", ""queso""]"
48, Anillos de galleta mexicana," [""1 1/2 taza de harina tamizada"", ""1/2 cucharadita de levadura en polvo"", ""1/2 cucharadita de sal"", ""1/2 taza de mantequilla"", ""2/3 taza de azúcar"", "" 3 yemas de huevo"", ""1 cucharadita de vainilla"", ""caramelos multicolores""]","[""Tamizar la harina, el polvo para hornear y la sal juntos"", ""Batir la mantequilla y el azúcar"", ""Agregar las yemas de huevo y la vainilla"", ""Batir hasta que esté suave y esponjoso"", ""Mezclar los ingredientes secos tamizados"", "" Forme bolas de 1 pulgada"", ""Empuje el mango de una cuchara de madera por el centro (gírela)"", ""Forme aros"", ""Sumerja cada galleta en los caramelos"", ""Coloque en bandejas para hornear ligeramente engrasadas"", ""Hornee"". en el horno a 375\u00b0 durante 10 a 12 minutos o hasta que estén dorados"", ""Dejar enfriar sobre rejillas"", ""Sirve 2 docenas"".]"," [""harina"", ""levadura en polvo"", ""sal"", ""mantequilla"", ""azúcar"", ""yemas de huevo"", ""vainilla"", ""caramelos de colores""]"
49, Sopa De Hamburguesa De Verduras,"[""1/2 libra de carne molida"", ""2 tazas de agua"", ""1 cucharadita de azúcar"", ""1 paquete de mezcla de sopa de cebolla Cup-a-Soup (seca)"", ""1 libra de lata de tomates guisados"" , ""1 lata (8 oz) de salsa de tomate"", ""1 paquete (10 oz) de vegetales mixtos congelados""]"," [""Dore ligeramente la carne en una olla para sopa"", ""Escurra el exceso de grasa"", ""Agregue los tomates, la salsa de tomate, el agua, las verduras congeladas, la mezcla para sopa y el azúcar"", ""Deje hervir"", ""Reduzca el fuego"". y cocine a fuego lento durante 20 minutos. Servir.""]"," [""carne molida"", ""agua"", ""azúcar"", ""sopa de cebolla"", ""tomates"", ""salsa de tomate"", ""verduras mixtas congeladas""]"
50, ole de pollo,"[""4 pechugas de pollo, cocidas"", ""1 lata de crema de pollo"", ""1 lata de crema de champiñones"", ""1 lata de salsa de chile verde"", ""1 lata de chiles verdes"", ""1 taza de leche"", ""1 cebolla rallada"", ""1 paquete de tortilla de maíz en trozos""]"," [""Corte el pollo en cuadritos"", ""Mezcle todos los ingredientes"", ""Déjelo reposar durante la noche"", ""Hornee durante 1 1/2 horas a 375\u00b0.""]"," [""pechugas de pollo"", ""crema de pollo"", ""crema de champiñones"", ""salsa de chile verde"", ""chiles verdes"", ""leche"", ""cebolla"", ""tortilla de maíz""]"
51, Ensalada de col cremosa (mejores casas y jardines),"[""4 taza de repollo rallado"", ""1/2 taza de zanahorias ralladas"", ""1/4 taza de pimiento verde finamente picado"", ""2 cucharadas de cebolla finamente picada"", ""1/2 taza de mayonesa"", "" 1 cucharada de vinagre"", ""2 cucharaditas de azúcar"", ""1 cucharadita de semillas de apio"", ""1/4 cucharadita de sal""]"," [""En un tazón grande, combine el repollo, la zanahoria, el pimiento verde y la cebolla o puede usar un paquete de mezcla de ensalada comprado en la tienda"".]"," [""repollo"", ""zanahorias"", ""pimiento verde"", ""cebolla"", ""mayonesa"", ""vinagre"", ""azúcar"", ""apio"", ""sal""]"
52, Platija criolla,"[""2 libras de filetes de platija o abadejo"", ""1 1/2 taza de tomates picados"", ""1/2 taza de pimiento verde picado"", ""1/3 taza de jugo de limón"", ""1 cucharada de aceite para ensalada"" , ""2 cucharaditas de sal"", ""2 cucharaditas de cebolla picada"", ""1 cucharadita de hojas de albahaca"", ""1/4 cucharadita de pimienta negra molida gruesa"", ""4 gotas de salsa de pimiento rojo"", ""anillos de pimiento verde""]"," [""Calienta el horno a 500\u00b0."", ""Coloca los filetes en una sola capa en una fuente para hornear de 13 1/2 x 9 x 2 pulgadas."", ""Revuelve los ingredientes restantes excepto los aros de pimiento. Vierte sobre los filetes."", "" Hornee de 5 a 8 minutos o hasta que el pescado se desmenuce fácilmente con un tenedor."", ""Retire los filetes a un plato caliente. Adorne con aros de pimiento verde. Rinde de 4 a 6 porciones"".]","[""platija"", ""tomates"", ""pimiento verde"", ""jugo de limón"", ""aceite para ensalada"", ""sal"", ""cebolla"", ""albahaca"", ""pimienta negra molida"", ""gotas de salsa de pimiento rojo"", "" pimiento verde""]"
53, Ensalada De Tres Frijoles," [""1 lata de judías verdes, lavar y escurrir"", ""1 lata de judías amarillas, lavar y escurrir"", ""1 lata de judías verdes, lavar y escurrir"", ""1 taza de azúcar"", ""1/2 taza de aceite para ensalada"" , ""2/3 c. de vinagre"", ""1/3 c. de agua""]"," [""Mezcle todo el azúcar, el aceite para ensalada, el vinagre y el agua hasta que el azúcar se disuelva."", ""Vierta sobre los frijoles y déjelo reposar durante la noche"".]"," [""judías verdes"", ""judías amarillas"", ""frijoles"", ""azúcar"", ""aceite para ensalada"", ""vinagre"", ""agua""]"
54, Cazuela de maíz de Dave,"[""1 lata (16 1/2 oz) de maíz en grano entero, escurrido"", ""1 lata (16 1/2 oz) de maíz estilo crema"", ""1 (8 oz) de crema agria"", ""1 ( Paquete de 8 1/2 oz. de mezcla de pan de maíz Jiffy"", ""1 barra de margarina""]"," [""En un tazón, mezcle los callos, la crema agria, la mezcla para pan de maíz y la margarina derretida."", ""Vierta en un molde engrasado de 8 x 8 x 2 pulgadas"", ""Hornee a 350\u00b0 durante 50 minutos"".]"," [""maíz integral"", ""estilo crema"", ""crema agria"", ""pan de maíz"", ""margarina""]"
55, Cazuela Italiana," [""1 libra de carne molida"", ""1/3 taza de cebolla picada"", ""1 lata de sopa de tomate"", ""2 tazas de fideos anchos cocidos"", ""1/2 cucharadita de orégano"", ""1/2 cucharadita. sal"", ""1/3 taza de agua"", ""1 taza de queso""]","[""Dore la carne con cebolla y condimentos y combine en una cacerola de 1 1/2 cuarto con sopa, agua y fideos"", ""Coloque el queso alrededor de los bordes"", ""Hornee a 350\u00b0 durante 30 minutos"".]"," [""carne molida"", ""cebolla"", ""sopa de tomate"", ""fideos"", ""orégano"", ""sal"", ""agua"", ""queso""]"
56, Cazuela De Carne En Conserva Y Repollo," [""1 repollo pequeño, rallado"", ""1 cucharadita de mostaza seca"", ""1 lata de carne en conserva, desmenuzada"", ""1 lata de crema de apio"", ""1 cebolla mediana picada""]"," [""Combine todos los ingredientes y cocine sin tapar a fuego lento hasta que el repollo esté tierno y crujiente, aproximadamente 20 minutos"".]"," [""repollo"", ""mostaza seca"", ""carne en conserva"", ""crema de apio"", ""cebolla""]"
57, Pasteles de cangrejo,"[""1 cucharada de salsa inglesa"", ""2 o 3 batidos Old Bay"", ""1 cucharadita de mostaza seca"", ""2 cucharadas de mayonesa"", ""1 huevo""]"," [""Mezcle y agregue con cuidado 1 libra de carne de cangrejo."", ""Mezcle con anticipación y refrigere para que se mantengan mejor juntos"".]"," [""salsa inglesa"", ""mostaza seca"", ""mayonesa"", ""huevo""]"
58, salsa para tacos," [""2 paquetes (8 oz.) de queso crema, ablandado"", ""1/2 taza de mayonesa o aderezo para ensalada"", ""8 oz. de salsa suave para tacos"", ""2 a 4 cebollas verdes en rodajas finas"", ""1/ 2 pimientos verdes picados"", ""1 tomate picado"", ""1 taza de queso mozzarella"", ""1 taza de queso cheddar"", ""1/2 taza de aceitunas negras (opcional)"", ""chips de tortilla""]","[""Mezcle queso crema y mayonesa"", ""Extiéndalo en un plato grande o en dos platos"", ""Congele durante 15 minutos. Extienda la salsa para tacos uniformemente encima"", ""Coloque los ingredientes restantes en el orden escrito"". , ""Sirva con totopos"".]"," [""queso crema"", ""mayonesa"", ""salsa para tacos"", ""cebollas verdes"", ""pimiento verde"", ""tomate"", ""queso mozzarella"", ""queso cheddar"", ""aceitunas negras"", ""chips de tortilla""]"
59, Galletas de Bombón," [""1/2 libra de mantequilla blanda"", ""1/2 taza de mantequilla de maní"", ""1/2 libra de migajas de galletas Graham"", ""2 taza de coco"", ""1/2 taza de nueces (opcional) "", ""Una pizca de vainilla""]"," [""Batir la mantequilla y la mantequilla de maní"", ""Agregar los ingredientes restantes"", ""Mezclar y formar bolitas (es mejor mezclarlas con las manos) y dejar enfriar durante varias horas, incluso un día"".]","[""mantequilla"", ""mantequilla de maní"", ""migas de galleta Graham"", ""coco"", ""carnes de nueces"", ""vainilla""]"
60, Por siempre ámbar," [""1 libra de caramelo en rodajas de naranja, picado"", ""2 latas de coco Angel Flake"", ""2 tazas de nueces pecanas picadas"", ""2 latas de leche condensada"", ""1 cucharadita de vainilla"", ""1 cucharadita de aroma de naranja""]"," [""Mezclar"", ""Extender en una sartén untada con mantequilla"", ""Hornear durante 30 minutos a 275\u00b0"", ""Mientras aún esté caliente, tamice 1 caja de azúcar en polvo. Deje caer cucharaditas sobre papel encerado"". , ""Dejar secar"", ""Si parece endurecido en el fondo, darle la vuelta y dejar que se siga secando"".]"," [""caramelo de naranja en rodajas"", ""Ángel"", ""nueces"", ""leche condensada"", ""vainilla"", ""sabor de naranja""]"
61, Pastel De Café Pegajoso,"[""1 mezcla para pastel amarillo"", ""2 huevos"", ""1 barra de aceite derretido"", ""1 taza de nueces picadas"", ""2 huevos"", ""8 onzas de queso crema ablandado"", ""1 libra de azúcar en polvo"" ]"," [""Mezcle la mezcla para pastel, 2 huevos y el oleo derretido"", ""Ponlo en un molde engrasado de 9 x 13 pulgadas"", ""Ponga nueces picadas encima de la mezcla"", ""Mezcle 2 huevos, queso crema y azúcar en polvo"". ."", ""Agregue encima de la primera mezcla."", ""Hornee 15 minutos a 325\u00b0, luego hornee 20 minutos a 350\u00b0.""]"," [""pastel amarillo"", ""huevos"", ""oleo"", ""nueces"", ""huevos"", ""queso crema"", ""azúcar en polvo""]"
62, Ensalada de piña y plátano de Phylis," [""1 lata grande de piña en trozos"", ""4 a 5 plátanos""]"," [""Escurrir la piña y reservar el jugo."", ""Cortar los plátanos en trozos como la piña.""]"," [""piña"", ""plátanos""]"
